Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A833580,,05/03/2021 08:33:00 AM,05/03/2021 08:33:00 AM,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby/White
A833592,,05/03/2021 08:33:00 AM,05/03/2021 08:33:00 AM,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Orange Tabby/White
A833582,,05/03/2021 08:33:00 AM,05/03/2021 08:33:00 AM,8000 Hood Circle in Austin (TX),Owner Surrender,Sick,Cat,Intact Female,2 weeks,Domestic Shorthair,Torbie
A721496,"New York ""Newsie""",05/03/2021 08:39:00 AM,05/03/2021 08:39:00 AM,3101 Centrum Drive in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Cane Corso Mix,Brown
A765548,Zoey,05/03/2021 08:39:00 AM,05/03/2021 08:39:00 AM,3101 Centrum Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pit Bull Mix,Brown Brindle
A833587,*Carl,05/03/2021 09:02:00 AM,05/03/2021 09:02:00 AM,4434 Frontier Trail in Austin (TX),Stray,Injured,Cat,Intact Male,3 years,Domestic Shorthair,Brown Tabby/White
A833588,,05/03/2021 09:03:00 AM,05/03/2021 09:03:00 AM,Austin (TX),Stray,Normal,Other,Unknown,6 days,Rabbit Sh,White/Black
A833586,,05/03/2021 09:03:00 AM,05/03/2021 09:03:00 AM,Austin (TX),Stray,Normal,Other,Unknown,6 days,Rabbit Sh,Black/White
A833589,,05/03/2021 09:03:00 AM,05/03/2021 09:03:00 AM,Austin (TX),Stray,Normal,Other,Unknown,6 days,Rabbit Sh,White/Black
A833596,,05/03/2021 09:30:00 AM,05/03/2021 09:30:00 AM,4434 Frontier Trail in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Black/White
A833597,,05/03/2021 09:30:00 AM,05/03/2021 09:30:00 AM,4434 Frontier Trail in Austin (TX),Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White
A833595,,05/03/2021 09:30:00 AM,05/03/2021 09:30:00 AM,4434 Frontier Trail in Austin (TX),Stray,Sick,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby
A832788,*Bruno,05/03/2021 10:39:00 AM,05/03/2021 10:39:00 AM,Lakeway (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Dutch Shepherd Mix,Brown Brindle/White
A833608,Black Jack,05/03/2021 10:46:00 AM,05/03/2021 10:46:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Miniature Schnauzer Mix,Black/Brown
A833605,Maggie,05/03/2021 10:46:00 AM,05/03/2021 10:46:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Shih Tzu/Yorkshire Terrier,Black/White
A833609,,05/03/2021 10:51:00 AM,05/03/2021 10:51:00 AM,6002 Carnation Terrace in Austin (TX),Stray,Nursing,Cat,Intact Female,1 week,Domestic Shorthair,Brown Tabby
A833613,Rogue,05/03/2021 11:40:00 AM,05/03/2021 11:40:00 AM,12009 Barker Hills in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Brown
A833601,Ranger,05/03/2021 11:41:00 AM,05/03/2021 11:41:00 AM,1156 Cesar Chavez in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Rottweiler Mix,Black/Tan
A833598,,05/03/2021 11:42:00 AM,05/03/2021 11:42:00 AM,3410 West Avenue in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Parakeet,Blue/White
A833590,,05/03/2021 11:43:00 AM,05/03/2021 11:43:00 AM,9422 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,13 years,Chihuahua Longhair,White/Brown
A833579,,05/03/2021 11:44:00 AM,05/03/2021 11:44:00 AM,7417 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Chihuahua Shorthair,White
A833619,*Minnie,05/03/2021 12:21:00 PM,05/03/2021 12:21:00 PM,1803 Belford Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,White/Calico
A833620,,05/03/2021 12:22:00 PM,05/03/2021 12:22:00 PM,8303 Bluff Springs in Austin (TX),Stray,Sick,Cat,Intact Male,3 weeks,Domestic Longhair Mix,Black
A833056,Piccolo,05/03/2021 12:30:00 PM,05/03/2021 12:30:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 months,Labrador Retriever Mix,Brown/White
A833621,*Sunny,05/03/2021 12:39:00 PM,05/03/2021 12:39:00 PM,1257 S Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A833622,,05/03/2021 12:39:00 PM,05/03/2021 12:39:00 PM,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A833624,,05/03/2021 12:39:00 PM,05/03/2021 12:39:00 PM,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair,Black
A833623,,05/03/2021 12:39:00 PM,05/03/2021 12:39:00 PM,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A833626,,05/03/2021 12:39:00 PM,05/03/2021 12:39:00 PM,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue
A833625,,05/03/2021 12:39:00 PM,05/03/2021 12:39:00 PM,1257 South Dunlap in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Black
A833628,Nena,05/03/2021 12:43:00 PM,05/03/2021 12:43:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Great Pyrenees Mix,Brown/Tricolor
A833610,*Button,05/03/2021 12:50:00 PM,05/03/2021 12:50:00 PM,1819 Rutland Drive in Austin (TX),Stray,Injured,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue Tabby/White
A833649,Silky,05/03/2021 01:15:00 PM,05/03/2021 01:15:00 PM,14715 Great Willow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie
A833629,Micco,05/03/2021 01:19:00 PM,05/03/2021 01:19:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Labrador Retriever,Black
A833642,Ana,05/03/2021 02:44:00 PM,05/03/2021 02:44:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Australian Cattle Dog,Tricolor
A833634,,05/03/2021 02:54:00 PM,05/03/2021 02:54:00 PM,7711 Shoal Creek Boulevard in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Medium Hair,Orange Tabby
A833643,,05/03/2021 03:17:00 PM,05/03/2021 03:17:00 PM,7104 Grove Crest Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Border Collie Mix,Black/White
A833644,,05/03/2021 03:17:00 PM,05/03/2021 03:17:00 PM,7104 Grove Crest Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Border Collie Mix,Chocolate/White
A833645,,05/03/2021 03:27:00 PM,05/03/2021 03:27:00 PM,16705 Fagerquist in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Labrador Retriever Mix,Black
A833648,Julia,05/03/2021 03:39:00 PM,05/03/2021 03:39:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull,Red/Black
A833651,A833651,05/03/2021 03:46:00 PM,05/03/2021 03:46:00 PM,14715 Great Willow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Siamese Mix,Lynx Point
A833650,,05/03/2021 03:46:00 PM,05/03/2021 03:46:00 PM,14715 Great Willow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A833646,,05/03/2021 03:59:00 PM,05/03/2021 03:59:00 PM,4900 Mckinney Falls Parkway in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Boxer,White/Brown
A833647,Tank,05/03/2021 03:59:00 PM,05/03/2021 03:59:00 PM,4900 Mckinney Falls Parkway in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Pit Bull Mix,Black/Tricolor
A832376,Scout,05/03/2021 04:25:00 PM,05/03/2021 04:25:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,11 months,Anatol Shepherd/Labrador Retriever,Brown/White
A833655,,05/03/2021 05:07:00 PM,05/03/2021 05:07:00 PM,14918 Talus Road in Manor (TX),Stray,Normal,Dog,Intact Female,1 year,Cardigan Welsh Corgi Mix,White/Brown
A833656,Rocky,05/03/2021 05:33:00 PM,05/03/2021 05:33:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 months,Schnauzer Giant Mix,Black
A833657,Bella,05/03/2021 05:33:00 PM,05/03/2021 05:33:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 months,Dachshund Mix,Buff
A833025,Monty,05/03/2021 05:57:00 PM,05/03/2021 05:57:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Great Pyrenees,White
A833663,,05/03/2021 09:21:00 PM,05/03/2021 09:21:00 PM,411 East 6Th Street in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown
A833674,,05/04/2021 09:20:00 AM,05/04/2021 09:20:00 AM,5013 Allyson Court in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair,Black
A801948,Boie,05/04/2021 09:45:00 AM,05/04/2021 09:45:00 AM,6600 Ed Bluestein in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Australian Kelpie Mix,Brown Brindle/White
A833677,Terry,05/04/2021 10:01:00 AM,05/04/2021 10:01:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 month,Boxer Mix,Brown/Tricolor
A833690,,05/04/2021 11:42:00 AM,05/04/2021 11:42:00 AM,1709 East Highway 71 in Austin (TX),Stray,Sick,Dog,Intact Female,5 months,Dachshund Mix,Black/White
A833692,Sissy,05/04/2021 11:52:00 AM,05/04/2021 11:52:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Shorthair,Black/White
A833694,Bora,05/04/2021 12:19:00 PM,05/04/2021 12:19:00 PM,9003 Little Walnut Parkway in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Labrador Retriever Mix,Buff/White
A833696,,05/04/2021 12:24:00 PM,05/04/2021 12:24:00 PM,3110 Dancy Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Staffordshire Mix,Red
A833693,Rocky,05/04/2021 12:24:00 PM,05/04/2021 12:24:00 PM,3110 Dancy Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Beagle Mix,Brown
A833700,Frostie,05/04/2021 12:43:00 PM,05/04/2021 12:43:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A833702,Tigerette,05/04/2021 12:43:00 PM,05/04/2021 12:43:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A833701,Buckee,05/04/2021 12:43:00 PM,05/04/2021 12:43:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A833697,,05/04/2021 12:50:00 PM,05/04/2021 12:50:00 PM,1707 Mckinley Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Brown Tabby
A807217,Taylor Marie,05/04/2021 12:59:00 PM,05/04/2021 12:59:00 PM,Manor Road And Chicon Street in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Labrador Retriever Mix,Brown
A833705,Princess Leia,05/04/2021 02:23:00 PM,05/04/2021 02:23:00 PM,124 West Anderson Lane in Austin (TX),Stray,Normal,Cat,Spayed Female,11 years,Domestic Shorthair,Calico/Gray
A833711,,05/04/2021 03:09:00 PM,05/04/2021 03:09:00 PM,14709 Geneva in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Labrador Retriever/Catahoula,Black/Brown Merle
A833712,,05/04/2021 03:17:00 PM,05/04/2021 03:17:00 PM,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White
A833714,Jason,05/04/2021 03:17:00 PM,05/04/2021 03:17:00 PM,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White
A833715,,05/04/2021 03:17:00 PM,05/04/2021 03:17:00 PM,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black
A833713,,05/04/2021 03:17:00 PM,05/04/2021 03:17:00 PM,Hudson Bend Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White
A833723,,05/04/2021 03:20:00 PM,05/04/2021 03:20:00 PM,3809 South Congress Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Orange Tabby
A833722,,05/04/2021 04:07:00 PM,05/04/2021 04:07:00 PM,1044 Camino La Costa in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Rat Terrier,White/Black
A833678,*Tinkerbell,05/04/2021 04:20:00 PM,05/04/2021 04:20:00 PM,5811 Duval in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Torbie
A833729,*Baxter,05/04/2021 04:55:00 PM,05/04/2021 04:55:00 PM,East Riverside Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby/White
A833733,*Cuddles,05/04/2021 05:12:00 PM,05/04/2021 05:12:00 PM,Blake Manor Road in Manor (TX),Stray,Sick,Dog,Intact Male,4 weeks,German Shepherd,Black/Tan
A833734,Major,05/04/2021 05:12:00 PM,05/04/2021 05:12:00 PM,Blake Manor Road in Manor (TX),Stray,Sick,Dog,Intact Male,4 weeks,German Shepherd,Black/Tan
A833732,*Snuggles,05/04/2021 05:12:00 PM,05/04/2021 05:12:00 PM,Blake Manor Road in Manor (TX),Stray,Sick,Dog,Intact Male,4 weeks,German Shepherd,Black
A833730,Carmelo,05/04/2021 05:13:00 PM,05/04/2021 05:13:00 PM,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull,Red
A833735,,05/04/2021 06:10:00 PM,05/04/2021 06:10:00 PM,6006 Bluebell Circle in Austin (TX),Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Calico
A833736,Cookie,05/04/2021 07:32:00 PM,05/04/2021 07:32:00 PM,5520 Pine in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Labrador Retriever,Tan/Brown
A833739,Chuck,05/04/2021 10:42:00 PM,05/04/2021 10:42:00 PM,1515 Wickersham Lane in Austin (TX),Public Assist,Normal,Dog,Intact Male,11 months,Pit Bull,Red/White
A833747,*Jamie,05/05/2021 07:59:00 AM,05/05/2021 07:59:00 AM,Austin (TX),Stray,Injured,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White
A833749,,05/05/2021 08:08:00 AM,05/05/2021 08:08:00 AM,8233 Industry Way in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Blue
A833759,Cowboy,05/05/2021 10:30:00 AM,05/05/2021 10:30:00 AM,14008 Fm 969 in Austin (TX),Stray,Normal,Dog,Intact Male,7 years,Chihuahua Shorthair,Black/Tan
A685630,Tonka,05/05/2021 11:09:00 AM,05/05/2021 11:09:00 AM,1308 Old Cedar Lane in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Great Pyrenees,White/Buff
A833766,,05/05/2021 12:17:00 PM,05/05/2021 12:17:00 PM,1506 Treadwell Street in Austin (TX),Stray,Injured,Cat,Neutered Male,6 years,Domestic Shorthair,Orange Tabby
A833778,*Terra,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A833776,A833776,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A833774,*82 G,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 day,Domestic Shorthair Mix,Brown Tabby/White
A833773,*68 G,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 day,Domestic Shorthair Mix,Calico
A833771,*228 G,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black Smoke/White
A833777,*Ripple,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A833782,A833782,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Snowshoe Mix,Blue Point/White
A833781,A833781,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Snowshoe Mix,Blue Point/White
A833775,*97 G,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 day,Siamese Mix,Lynx Point
A833780,*Ren,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,Snowshoe Mix,Blue Point
A833784,*Neo,05/05/2021 01:08:00 PM,05/05/2021 01:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A828404,Nala,05/05/2021 01:27:00 PM,05/05/2021 01:27:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown Brindle/White
A833779,*Hank,05/05/2021 02:06:00 PM,05/05/2021 02:06:00 PM,1824 West Slaughter Lane in Austin (TX),Abandoned,Injured,Dog,Intact Male,1 month,American Pit Bull Terrier,White/Tan
A833788,,05/05/2021 02:41:00 PM,05/05/2021 02:41:00 PM,Amber Pass in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pit Bull,Tan
A833789,,05/05/2021 02:43:00 PM,05/05/2021 02:43:00 PM,9815 Copper Creek Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Black
A833791,Buzz Lightyear,05/05/2021 02:48:00 PM,05/05/2021 02:48:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Boxer Mix,Black/White
A833792,Ms Meow,05/05/2021 02:48:00 PM,05/05/2021 02:48:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Brown Tabby
A833787,,05/05/2021 03:08:00 PM,05/05/2021 03:08:00 PM,4903 Fm 1327 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees,White
A833785,,05/05/2021 03:10:00 PM,05/05/2021 03:10:00 PM,6107 East Riverside Drive in Austin (TX),Stray,Injured,Cat,Intact Female,7 months,Domestic Shorthair,White/Brown Tabby
A795412,Cosmo,05/05/2021 03:30:00 PM,05/05/2021 03:30:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pointer/Rat Terrier,White/Brown Brindle
A833796,,05/05/2021 03:54:00 PM,05/05/2021 03:54:00 PM,Travis (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Medium Hair,Brown Tabby
A730879,Rudy,05/05/2021 03:58:00 PM,05/05/2021 03:58:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,German Shepherd Mix,Red/Black
A833795,Fluffy,05/05/2021 03:59:00 PM,05/05/2021 03:59:00 PM,Austin (TX),Stray,Injured,Cat,Neutered Male,5 months,Domestic Shorthair,White
A824509,Koda,05/05/2021 04:32:00 PM,05/05/2021 04:32:00 PM,12220 Hunters Chase Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Akita,Brown/White
A806287,Roulette,05/05/2021 04:51:00 PM,05/05/2021 04:51:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Black Mouth Cur Mix,Brown
A833800,,05/05/2021 05:08:00 PM,05/05/2021 05:08:00 PM,2321 Kale Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,2 months,Domestic Shorthair,Chocolate/Seal Point
A833801,,05/05/2021 06:12:00 PM,05/05/2021 06:12:00 PM,1088 Park Plaza in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull Mix,Tan
A833806,Cedie,05/05/2021 08:56:00 PM,05/05/2021 08:56:00 PM,12019 Swallow Drive in Austin (TX),Stray,Injured,Dog,Intact Female,10 years,Yorkshire Terrier,Brown/Black
A833807,Simba,05/05/2021 10:05:00 PM,05/05/2021 10:05:00 PM,14312 Hunters Bend in Travis (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Orange Tabby
A833813,Rocky,05/06/2021 09:39:00 AM,05/06/2021 09:39:00 AM,2121 Dickson Drive in Austin (TX),Abandoned,Normal,Dog,Intact Male,2 years,Miniature Poodle/Bernese Mountain Dog,White/Black
A833822,,05/06/2021 11:08:00 AM,05/06/2021 11:08:00 AM,Summit Street And Old East Riverside in Austin (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Shorthair,Blue Tabby
A833824,,05/06/2021 11:24:00 AM,05/06/2021 11:24:00 AM,Berkman And Sweetbriar in Austin (TX),Stray,Normal,Dog,Intact Female,10 years,Chihuahua Longhair Mix,Black/White
A833825,,05/06/2021 11:54:00 AM,05/06/2021 11:54:00 AM,1156 West Cesar Chavez in Austin (TX),Abandoned,Nursing,Cat,Intact Female,3 years,Domestic Shorthair,Brown Tabby
A833827,,05/06/2021 11:54:00 AM,05/06/2021 11:54:00 AM,1156 West Cesar Chavez in Austin (TX),Abandoned,Nursing,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A833826,,05/06/2021 11:54:00 AM,05/06/2021 11:54:00 AM,1156 West Cesar Chavez in Austin (TX),Abandoned,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A833828,,05/06/2021 11:54:00 AM,05/06/2021 11:54:00 AM,1156 West Cesar Chavez in Austin (TX),Abandoned,Nursing,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby
A833829,Mikey,05/06/2021 12:30:00 PM,05/06/2021 12:30:00 PM,Manor (TX),Owner Surrender,Normal,Cat,Spayed Female,13 years,Domestic Shorthair,Black/White
A802778,Angel,05/06/2021 12:54:00 PM,05/06/2021 12:54:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Chihuahua Longhair,Tan/Cream
A833855,,05/06/2021 01:07:00 PM,05/06/2021 01:07:00 PM,1101 Wheatley in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Miniature Poodle Mix,White
A833831,Coco,05/06/2021 01:08:00 PM,05/06/2021 01:08:00 PM,Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,13 years,Chihuahua Shorthair,Chocolate
A833830,Bruno,05/06/2021 01:34:00 PM,05/06/2021 01:34:00 PM,15300 Bratton Lane in Travis (TX),Stray,Normal,Dog,Intact Male,12 years,Chihuahua Shorthair,White/Brown
A833821,,05/06/2021 01:53:00 PM,05/06/2021 01:53:00 PM,13007 Springvale Drive in Austin (TX),Stray,Injured,Dog,Intact Male,2 months,Labrador Retriever/Collie Smooth,Black
A833835,,05/06/2021 02:08:00 PM,05/06/2021 02:08:00 PM,Round Rock (TX),Wildlife,Injured,Other,Unknown,2 weeks,Rabbit Sh,Brown
A833837,,05/06/2021 02:40:00 PM,05/06/2021 02:40:00 PM,Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A833841,*Porthos,05/06/2021 03:09:00 PM,05/06/2021 03:09:00 PM,12138 North Lamar Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Snowshoe Mix,Lilac Point
A833842,*Aramis,05/06/2021 03:09:00 PM,05/06/2021 03:09:00 PM,12138 North Lamar Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Black/White
A833840,*Athos,05/06/2021 03:09:00 PM,05/06/2021 03:09:00 PM,12138 North Lamar Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Snowshoe Mix,Lilac Point
A833844,,05/06/2021 04:01:00 PM,05/06/2021 04:01:00 PM,22411 Giesla in Travis (TX),Stray,Sick,Dog,Intact Male,1 month,Labrador Retriever,Tan
A833845,,05/06/2021 04:01:00 PM,05/06/2021 04:01:00 PM,22411 Giesla in Travis (TX),Stray,Sick,Dog,Intact Female,1 month,Labrador Retriever,White/Tan
A831864,Nemo,05/06/2021 04:17:00 PM,05/06/2021 04:17:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,American Pit Bull Terrier,Brown/White
A833838,,05/06/2021 04:22:00 PM,05/06/2021 04:22:00 PM,2525 Glen Springs Way in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A833850,Baxter,05/06/2021 04:41:00 PM,05/06/2021 04:41:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Boxer,White/Black
A833573,Syke,05/06/2021 05:05:00 PM,05/06/2021 05:05:00 PM,14301 North Interstate Highway in Travis (TX),Stray,Normal,Dog,Intact Female,5 years,Miniature Schnauzer Mix,White/Brown
A833768,Stormie,05/06/2021 05:05:00 PM,05/06/2021 05:05:00 PM,14301 North Interstate Highway in Travis (TX),Stray,Normal,Dog,Intact Female,5 years,Miniature Schnauzer Mix,Black/White
A833854,Pumpkin,05/06/2021 05:37:00 PM,05/06/2021 05:37:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Shorthair,Orange Tabby
A833866,,05/06/2021 08:28:00 PM,05/06/2021 08:28:00 PM,1001 Farm To Market 685 in Travis (TX),Public Assist,Normal,Cat,Intact Male,2 days,Domestic Shorthair,Orange Tabby/White
A833858,,05/06/2021 08:28:00 PM,05/06/2021 08:28:00 PM,1001 Farm To Market 685 in Travis (TX),Public Assist,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Calico
A833860,,05/06/2021 08:28:00 PM,05/06/2021 08:28:00 PM,1001 Farm To Market 685 in Travis (TX),Public Assist,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby/White
A833862,Francis,05/06/2021 08:28:00 PM,05/06/2021 08:28:00 PM,1001 Farm To Market 685 in Travis (TX),Public Assist,Normal,Cat,Intact Female,2 years,Domestic Medium Hair,Calico
A833868,,05/06/2021 08:28:00 PM,05/06/2021 08:28:00 PM,1001 Farm To Market 685 in Travis (TX),Public Assist,Normal,Cat,Intact Female,2 days,Domestic Shorthair,Calico
A833865,,05/06/2021 08:28:00 PM,05/06/2021 08:28:00 PM,1001 Farm To Market 685 in Travis (TX),Public Assist,Normal,Cat,Intact Male,2 days,Domestic Shorthair,Orange Tabby/White
