#,Song ,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Valence (Happiness),Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
415, Camp Attack,Ludwig Goransson,34,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 4 (Original Score),11/29/19,2:22,28,34,5,53,4,5,32,-17 db,150,C Minor,5A,5,12/27/19,2UeV9yqAxZUD1LgUfrMdKP
413, Can I Feed Him?,Ludwig Goransson,37,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 4 (Original Score),11/29/19,3:34,31,1,90,88,7,3,9,-33 db,96,G Minor,6A,3,12/27/19,1BP0fzgrZQ5JpHMt4teJwP
306, Can't Protect Ezra Forever,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:14,22,46,51,85,4,4,13,-11 db,80,G Major,9B,4,5/9/17,1IgfXb1DVQOYK5goF0spUi
351, Cantina Band,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: A New Hope (Original Motion Picture Soundtrack),1/1/77,2:47,66,48,61,2,70,12,9,-14 db,132,C Major,8B,4,5/30/18,6AEpIW1MogI2nXr9vPupKj
554, Canto Bight,John Williams,34,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),12/15/17,2:37,47,35,50,0,31,5,12,-13 db,127,D Minor,7A,4,12/15/17,52hMydaS1ld25uY0wI1sHW
475, Capture the Flag,Ludwig Goransson,44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,5:38,26,34,3,78,6,6,12,-19 db,135,C Major,8B,4,12/18/20,3eWEsPFeEqulQnxz1oujt1
334, Cargo Shuttle SW-0608,Michael Giacchino,31,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,3:59,8,4,85,76,3,4,10,-20 db,67,G#/Aâ™­ Major,4B,4,12/17/16,7AgciDSak9I6aBmCP5kxlg
402, Celebration,Ludwig Goransson,37,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 2 (Original Score),11/15/19,3:31,42,43,55,91,17,5,12,-14 db,118,F Major,7B,4,12/27/19,2pNeuTRp5WmJ2RJI1c1ZlS
309, Cham,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:17,31,8,96,96,8,4,14,-17 db,114,A#/Bâ™­ Major,6B,3,5/9/17,3HZdClL76fZqLD38dhAUFT
65, Chase in the Sky,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,3:14,23,51,73,63,8,4,11,-10 db,88,G Major,9B,4,5/4/20,5lOO7WKloU9CeGhpJfQLWe
86, Chase in the Valley,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,1:38,12,56,75,88,4,4,34,-9 db,81,A#/Bâ™­ Major,6B,3,5/4/20,21wlzjgIj5VrVXpWBDEgcj
93, Chasing Saxon,Kevin Kiner,28,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,1:57,25,49,63,91,19,4,39,-9 db,140,A#/Bâ™­ Major,6B,4,5/4/20,0T3jOLtwC6GlTARA1O7s2R
446, Check Point,Ludwig Goransson,35,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 8 (Original Score),12/27/19,1:21,55,18,11,25,3,9,8,-18 db,112,F Minor,4A,5,12/27/19,5G62Hz4zMXAKzRVwRAF19x
248, Chicken in the Pot,John Powell,27,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,2:09,52,23,24,0,58,5,8,-21 db,80,F#/Gâ™­ Major,2B,4,5/27/18,2jnJKVrj2Cm0qvRxJ1Hpfi
223, Chieftain Tarfful,"Stephen Barton,Gordy Haab",24,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,2:44,15,11,87,95,6,4,12,-21 db,91,F Minor,4A,4,9/3/20,7FMnWlswan9gZdPdgHWt0x
152, Chip Disorders,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:34,56,55,8,87,4,4,16,-12 db,110,Câ™¯/Dâ™­ Major,3B,5,7/8/21,4L4jk1wRQ3nYKyQrTwFC1a
310, Chopper's Inside Info,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:18,21,33,91,90,7,4,27,-11 db,94,G#/Aâ™­ Major,4B,4,5/9/17,4KXxubiSNpFkW7JZuMZjb6
158, Cid's Jukebox Mix Vol. 1,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,4:48,55,44,35,89,47,7,7,-12 db,133,B Minor,10A,4,7/8/21,1yPhZSosBjbaUKslI1ZO8A
195, Cid's Jukebox Mix Vol. 2,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,7:24,46,65,2,7,29,6,11,-10 db,125,G Major,9B,4,9/14/21,4uqA3gUHAEdKi1LFTCRJTv
124, Civil War About to Begin,Kevin Kiner,29,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:21,15,15,93,83,4,4,11,-18 db,83,D#/Eâ™­ Major,5B,4,7/8/21,2ouVi70Pree2tfrgyPkWoh
453, Clan of Two,Ludwig Goransson,33,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 8 (Original Score),12/27/19,3:32,23,6,79,95,4,4,12,-21 db,123,A#/Bâ™­ Major,6B,4,12/27/19,1TEUgUZuL5Ju9SdNvBE6YE
63, Clones Retreat,Kevin Kiner,27,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,2:28,28,38,17,84,7,4,18,-9 db,120,D Minor,7A,4,5/4/20,5wfAghak6JUiAFyNG5yoAZ
188, Collapse,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,5:18,14,38,72,90,4,4,7,-12 db,94,D Minor,7A,4,9/14/21,5b103AHlWbxVww1PEHloRW
485, Come with Me,Ludwig Goransson,44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,2:45,27,11,43,91,16,4,12,-22 db,75,C Minor,5A,4,12/18/20,7MXctppZ1i8H2XxLe6LXKj
271, Commander Meiloorun,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,1:32,39,31,91,90,26,3,13,-15 db,110,F#/Gâ™­ Minor,11A,4,5/9/17,6JGfTVkHn8LO0YwLTbI6PW
330, Confrontation on Eadu,Michael Giacchino,32,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,8:05,17,20,78,83,4,4,9,-14 db,98,G#/Aâ™­ Major,4B,4,12/17/16,5JMwFVs4EdoAMV4UcvUNaS
30, Confrontation with Count Dooku and Finale,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode 2: Attack of the Clones,3/11/02,10:44,10,14,84,91,6,4,19,-19 db,78,D Minor,7A,4,4/3/14,4wz0SXTiHbBK3Q4JTEYX8N
233, Confronting the Past,"Stephen Barton,Gordy Haab",23,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,4:14,13,5,90,92,4,4,14,-26 db,76,F Major,7B,5,9/3/20,7m3yuABAf5YWQeeb5xgaih
243, Corellia Chase,John Powell,31,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,3:34,31,65,3,90,21,6,9,-13 db,101,C Major,8B,4,5/27/18,4ubtdn4Oa1IyM4gOtWDhIO
101, Crash Course Moon,Kevin Kiner,33,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,1:31,28,46,20,74,4,4,11,-8 db,78,C Minor,5A,4,5/4/20,6Gyqg6pmp0WDYW02OyeHjv
220, Crashed Venator,"Stephen Barton,Gordy Haab",25,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,1:54,15,14,64,88,3,4,9,-22 db,78,C Major,8B,4,9/3/20,7nVTPoHjoFh7ZWm2ocj3PQ
140, Danger at the Market,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:13,23,30,67,84,4,4,10,-14 db,130,C Minor,5A,4,7/8/21,02cthZeDikZlYwBAdd6t3u
50, Darth Maul Breaks Obi-wan,Kevin Kiner,33,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:54,11,20,91,94,4,3,11,-13 db,92,G Minor,6A,3,5/9/17,2TnIKo5DvfXeojEBbTxUAq
41, Death of a Master,"Kevin Kiner,Takeshi Furukawa",38,"scorecore, soundtrack, video game music, japanese soundtrack",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:25,22,24,64,93,7,4,14,-15 db,67,G Minor,6A,4,5/9/17,7oMD3VnyQ6ZWihVnK2tfSr
146, Decommissioned Factory,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,4:25,31,42,25,86,4,4,22,-12 db,160,G Minor,6A,4,7/8/21,2OZUYHjHLwGvsQnvKkuwCn
22, Departing Coruscant,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode 2: Attack of the Clones,3/11/02,1:44,20,2,97,97,4,4,8,-23 db,84,A Minor,8A,4,4/3/14,1kmSmSn3zBztaa9uWuWwzs
364, Departure of Boba Fett,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack),1/1/80,3:10,15,22,98,86,4,5,15,-16 db,77,D Major,10B,4,5/30/18,0iP135rqtOyiqFRjkflZYD
490, Desert Walk,"Joseph Shirley,Ludwig Goransson",44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 1 (Chapters 1-4) [Original Soundtrack],1/21/22,3:00,55,31,54,73,7,4,37,-21 db,120,G#/Aâ™­ Major,4B,3,2/4/22,2CBEqI7HkcKhNAtsb7WWq1
82, Desperate Breakout,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,2:14,30,39,43,10,8,3,26,-10 db,102,G#/Aâ™­ Major,4B,4,5/4/20,180xAYBm99p0GrnRs9QcJ9
571, Destiny of a Jedi,John Williams,37,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,5:12,9,5,96,93,4,4,11,-23 db,77,B Major,1B,4,12/27/19,0DWvP0ZwONh08dkcJTdLk2
260, Dice & Roll,John Powell,31,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,1:54,33,16,58,91,13,3,12,-18 db,100,A#/Bâ™­ Minor,3A,4,5/27/18,1k9RJ8bFFyT41s3FvUGSFP
167, Different Perspectives,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:10,15,9,88,96,3,4,9,-21 db,77,F Major,7B,4,9/14/21,1YabSTXcSXb1uRh0aUko3m
132, Disobeying Orders,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,4:52,22,37,61,94,4,4,9,-13 db,129,G Minor,6A,4,7/8/21,7mrq0zV3XwlcT7CmquxqsX
104, Dodging Debris,Kevin Kiner,30,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:17,21,52,24,85,4,5,17,-10 db,80,A#/Bâ™­ Major,6B,4,5/4/20,3Nm125H5wxt4RYmCtw7P0f
79, Droid Madness,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,1:33,15,39,60,85,5,4,25,-11 db,171,G#/Aâ™­ Major,4B,3,5/4/20,5nrE3fMZlrS8urhtgFczP6
62, Droids Approaching,Kevin Kiner,28,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,2:04,22,49,19,92,17,3,9,-8 db,85,D#/Eâ™­ Minor,2A,4,5/4/20,1zaq0WEAaEJGELxBRnMjSC
57, Duel in the Jedi Temple,Kevin Kiner,33,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:33,17,70,53,90,14,4,29,-4 db,183,F Major,7B,3,5/9/17,4vErmSXJMEsQ6iGKqISVYV
2, Duel Of The Fates,"London Voices,London Symphony Orchestra,John Williams,New London Children's Choir",0,"british choir, british orchestra, classical, classical performance, orchestra, orchestral soundtrack, soundtrack, children's choir","Classical, Easy listening",Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),5/4/99,4:14,44,43,93,81,22,4,27,-17 db,80,D Minor,7A,4,5/9/17,7di1zbwgfJkRLkTGV44icu
194, End Credits (Star Wars: The Bad Batch),Kevin Kiner,34,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,0:43,34,55,62,95,31,4,35,-7 db,81,D Minor,7A,3,9/14/21,4PD5ApMV36R2VDMKHDopLi
130, End of the War,Kevin Kiner,27,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:17,7,32,50,92,4,4,10,-13 db,76,D Minor,7A,4,7/8/21,7GtnVAKNXQwubAGsHfos7D
458, Enjoy the Fights,Ludwig Goransson,37,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 1 (Chapters 9-12) [Original Score],11/20/20,2:55,21,37,61,84,5,4,15,-18 db,82,C Major,8B,4,11/20/20,4HDtwbSp6FybPqQlTyqTop
240, Eno Cordova's Theme,"Stephen Barton,Gordy Haab",40,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,2:44,10,7,93,66,4,4,14,-23 db,85,D Minor,7A,3,9/3/20,4x8M3TXY44MyVhd7rxODoy
117, Enter Lord Vader,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,4:14,17,11,91,91,4,3,7,-20 db,141,A Minor,8A,4,11/28/15,72xug8H3Sg5mq1A8nlnLhc
106," Enter the Bad Batch - From ""Star Wars: The Bad Batch""/Score",Kevin Kiner,43,"scorecore, soundtrack, video game music",Easy listening,"Enter the Bad Batch (From ""Star Wars: The Bad Batch"")",5/14/21,1:40,41,50,3,97,22,3,13,-8 db,120,Câ™¯/Dâ™­ Major,3B,4,5/23/21,7B7ntJ0B84LVY1CljRSB0o
278, Enter the Inquisitor,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,1:54,18,32,17,95,37,3,9,-8 db,76,D Minor,7A,4,5/9/17,2AnSz6Fmb3xuAEguMiGmOn
68, Escape Route,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,1:56,19,31,10,81,4,3,8,-13 db,81,E Major,12B,4,5/4/20,7vYrwiJjO2OINTRIUbevBZ
81, Evading the Guards,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,2:12,22,40,67,4,7,5,34,-10 db,75,E Minor,9A,4,5/4/20,3Ol8NXaBCdXXBATnuxuBTe
386, Ewok Celebration and Finale,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: Return of the Jedi (Original Motion Picture Soundtrack),1/1/83,8:04,40,32,89,79,31,8,11,-15 db,125,C Major,8B,4,5/30/18,4FTUsoGo4gH0gWNC8vlquB
468, Experiment,Ludwig Goransson,35,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 1 (Chapters 9-12) [Original Score],11/20/20,5:16,30,60,6,83,4,6,12,-13 db,130,F#/Gâ™­ Major,2B,4,11/20/20,3Jqi7cvuxBn1guaVvlu23s
127, Experimental Tactics,Kevin Kiner,27,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,2:34,19,67,14,71,16,6,11,-8 db,75,D Major,10B,4,7/8/21,5UqEwK7sboPyuWYWSCFms8
221, Exploring Ancient Tombs,"Stephen Barton,Gordy Haab",25,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,5:59,6,5,87,95,3,5,12,-31 db,63,F Minor,4A,4,9/3/20,47PHNVUUqp7TxloVdwk0X1
84, Explosives,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,2:42,22,35,62,73,4,4,11,-12 db,94,C Minor,5A,4,5/4/20,3oMPcTIVWyZFdd9zlSnlEY
297, Ezra and Leia,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:07,11,13,95,79,4,4,19,-15 db,85,A#/Bâ™­ Major,6B,3,5/9/17,0dwjFKWKsXMuklnyVEocj6
307, Ezra and the Pergill,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:24,18,30,51,93,4,4,11,-14 db,77,F Major,7B,1,5/9/17,6TbCGeSXNapHIykF3RfEul
266, Ezra Meets the Team,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,2:40,28,28,84,92,16,3,26,-14 db,104,C Minor,5A,4,5/9/17,4k9JRnO22Cre1P4fVajabv
263, Ezra Sneaks Aboard,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,1:07,22,17,68,68,8,3,25,-18 db,74,D#/Eâ™­ Major,5B,4,5/9/17,59R2MNhZxAY5Tl4Uyd8OpR
314, Ezra Trusts Maul,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:37,28,41,74,92,5,3,10,-10 db,80,C Major,8B,4,5/9/17,5cx4JWB3teyoqgujWj3Raz
265, Ezra's Theme,Kevin Kiner,29,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,2:44,18,19,97,91,4,4,35,-16 db,79,G Minor,6A,1,5/9/17,5Jm21Up9lrHcHAeGC8AgrO
388, Face to Face,Ludwig Goransson,46,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 1 (Original Score),11/12/19,5:12,22,5,70,88,3,4,11,-24 db,142,D Major,10B,4,12/27/19,46ZTVbgiChSTxWcZyveJqu
231, Failure Is Not the End,"Stephen Barton,Gordy Haab",27,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,5:28,7,3,83,86,3,4,4,-27 db,71,D Minor,7A,3,9/3/20,7098uM9PPBtpICThdoMTYO
276, Familiar Pilot,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,0:35,27,34,68,36,37,3,10,-9 db,93,C Major,8B,5,5/9/17,4UU352z4sNwjJDzlO9pLyN
566, Fanfare and Prologue,John Williams,39,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,4:34,8,28,35,94,4,4,17,-14 db,82,C Minor,5A,4,12/27/19,4YobM2FcsIxRcDx11et0G7
426, Farewell,Ludwig Goransson,36,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 5 (Original Score),12/6/19,2:09,18,8,77,61,4,4,11,-22 db,115,G#/Aâ™­ Minor,1A,4,12/27/19,62NJWSMEe5eF9udFBcMJY8
581, Farewell,John Williams,36,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,5:14,14,10,92,86,4,4,10,-18 db,82,D Minor,7A,4,12/27/19,3mWi4QAqeGyvrirJ6fUgPJ
544, Farewell and The Trip,John Williams,34,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),12/18/15,4:55,15,12,96,85,4,4,9,-16 db,102,D Minor,7A,3,12/18/15,5rNeP2W50bPqxNGznooWCV
173, Farewell to Hera,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,3:21,17,20,90,89,4,4,10,-14 db,116,C Major,8B,4,9/14/21,28S66BvDeVqkiKomUKXkTj
505, Faster Than a Fathier,"Joseph Shirley,Ludwig Goransson",36,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,4:58,32,22,77,87,13,3,10,-20 db,90,F Minor,4A,5,2/15/22,7BuG50amxx1PSSZ2OfECB4
489, Fear Is a Sure Bet,"Joseph Shirley,Ludwig Goransson",44,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 1 (Chapters 1-4) [Original Soundtrack],1/21/22,3:48,50,80,4,72,15,5,32,-10 db,112,G Major,9B,5,2/4/22,7cHfYgcLyBsTrv9V53HPmT
499, Fennec and Boba,"Joseph Shirley,Ludwig Goransson",43,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 1 (Chapters 1-4) [Original Soundtrack],1/21/22,2:08,38,35,62,84,9,3,12,-20 db,100,A#/Bâ™­ Minor,3A,1,2/4/22,2EgQoaZnFe59ST1PdgJbNH
142, Fennec Shand,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,2:40,20,45,58,92,5,4,11,-12 db,85,D Minor,7A,4,7/8/21,2OvmVqKreAZWtxL0XUl1eD
201, Fight and Flight,"Stephen Barton,Gordy Haab",29,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,8:18,24,52,60,80,6,7,10,-16 db,110,Câ™¯/Dâ™­ Major,3B,4,9/3/20,1IB4tuhwUJ3OMV4qQu7uBa
155, Fight in the Artillery Room,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,2:44,25,44,40,82,20,6,12,-12 db,77,E Major,12B,3,7/8/21,09Ecc051OvHhSDQp3ESJYn
516, Final Showdown,"Joseph Shirley,Ludwig Goransson",35,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,4:13,22,42,22,92,5,5,11,-13 db,145,B Major,1B,4,2/15/22,4Ncz6bE3nq4YNGNJp3A7cB
375, Finale,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack),1/1/80,6:30,23,23,92,86,12,4,35,-15 db,102,C Major,8B,4,5/30/18,254BciN6wKG88hkuRqMhRW
565, Finale,John Williams,33,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),12/15/17,8:28,18,30,88,87,4,4,8,-13 db,76,F Major,7B,4,12/15/17,3pVqoWOgMuI1K4p4oKheGh
584, Finale,John Williams,47,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,10:51,13,37,70,91,7,4,14,-11 db,59,G Minor,6A,4,12/27/19,1lL5wgXpI3Wwn6Am13dQIj
139, Financial Incentives,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:23,25,18,69,91,4,5,8,-14 db,176,Câ™¯/Dâ™­ Major,3B,4,7/8/21,0RcMuXiNv6wG99811YQ2is
304, Finding Lasan,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:01,23,41,43,94,6,3,12,-12 db,70,F Major,7B,4,5/9/17,6gT1M5uRs2yTb6mz8WuoGj
73, Finest Troopers,Kevin Kiner,27,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],3/13/20,2:27,20,23,51,78,5,4,8,-13 db,117,F Minor,4A,4,5/4/20,2JcD6LCutZThLOaRbI1G1p
